Date,Time,Open,High,Low,Close,Volume,"Volume Weighted Moving Average - VMA - VMA(Close,60)","Linear Regression - LR - LR(20)","BOLLINGER BAND ® - BB - BBUpper(20,2)","BOLLINGER BAND ® - BB - BBLower(20,2)","Standard Deviation - SD - SD(5,Population)"
03/31/2020,12:14 PM,161.09,161.09,160.9,160.96,68716,161.903966668392,161.087514285715,161.376886533905,160.430143466096,0.0956242646822082
03/31/2020,12:15 PM,160.96,160.99,160.78,160.8,67093,161.873664179586,161.06193857143,161.37627899306,160.426751006941,0.145313454300076
03/31/2020,12:16 PM,160.7952,160.95,160.785,160.95,63421,161.834677186933,161.017431428573,161.337137500119,160.524252499881,0.111964279981674
03/31/2020,12:17 PM,160.96,160.96,160.55,160.57,87387,161.780223880432,160.936375714287,161.35186703278,160.48752296722,0.182581488661564
03/31/2020,12:18 PM,160.5601,160.75,160.5601,160.66,68564,161.746246032245,160.905177142858,161.337069931988,160.459320068012,0.154841854786922
03/31/2020,12:19 PM,160.6744,160.7,160.38,160.41,122664,161.701575550251,160.816192857144,161.360460482779,160.385429517221,0.18583863970252
03/31/2020,12:20 PM,160.41,160.5,160.17,160.495,158767,161.651970016987,160.76888857143,161.344683525614,160.340526474386,0.185838639671198
03/31/2020,12:21 PM,160.495,160.6046,160.1,160.1,153693,161.588762453826,160.626065714287,161.405494724861,160.210365275139,0.192135368961631
03/31/2020,12:22 PM,160.1,160.19,160,160.09,201130,161.522199456404,160.502942857144,161.43876378928,160.09509621072,0.223973212678017
03/31/2020,12:23 PM,160.08,160.39,160.07,160.26,154321,161.475069925093,160.420995714287,161.439633959436,160.031336040564,0.162246725680987
03/31/2020,12:24 PM,160.28,160.4372,160.1543,160.38,127324,161.436282556817,160.33442857143,161.443827061579,160.012142938421,0.157480157468556
03/31/2020,12:25 PM,160.34,160.4762,160.15,160.35,110396,161.407957826201,160.235082857144,161.447494833083,159.999825166918,0.121753849997904
03/31/2020,12:26 PM,160.35,160.35,160.06,160.13,125775,161.36969213812,160.127785714287,161.460852132806,159.924147867194,0.115481600231282
03/31/2020,12:27 PM,160.16,160.23,159.96,160.09,223218,161.314472086518,160.034642857144,161.459035979345,159.846964020655,0.115481600243883
03/31/2020,12:28 PM,160.08,160.23,159.95,160.0301,128553,161.271160055646,159.961661428573,161.425008597259,159.776001402741,0.14190617180783
03/31/2020,12:29 PM,160.0395,160.15,159.92,159.99,94244,161.229390948128,159.898231428573,161.376948148237,159.713061851764,0.125588540891272
03/31/2020,12:30 PM,160,160.15,159.94,160.1401,86876,161.200502289948,159.889534285716,161.282097429435,159.700922570565,0.057833575054311
